"RefDes";"Name";"Pattern";"Center X (mil)";"Center Y (mil)";"Side";"Rotation";"Value"
"S_MUTE_OUTS";"TAC_SWITCHTACTILE_PTH_SILK (TAC_SWITCH)";"TACTILE-PTH_SILK";"2628.7";"4518.7";"Bottom";"90.0";"Mini Button"
"S_TIME";"TAC_SWITCHTACTILE_PTH_SILK (TAC_SWITCH)";"TACTILE-PTH_SILK";"578.7";"1793.7";"Bottom";"270.0";"Mini Button"
"S_TRIG";"TAC_SWITCHTACTILE_PTH_SILK (TAC_SWITCH)";"TACTILE-PTH_SILK";"2578.7";"643.7";"Bottom";"270.0";"Mini Button"
"U1";"STM32F4XXV2";"LQFP100-14X14MM";"1577.42";"3772.63";"Top";"0.0";"STM32F427VIT6"
"U2";"WM8731";"SSOP-28";"2482.85";"3781.23";"Top";"270.0";""
"U3";"TL074_SO-14 (TL074)";"SO-14";"3247.25";"3738.21";"Top";"90.0";"TL074"
"U4";"LD1117-3V3 (LD1117)";"SOT223";"944.68";"3678.55";"Top";"90.0";"LD1117-3V3"
"U5";"SSI2164";"SO-16";"2317.7";"2901.14";"Top";"90.0";"2164"
"U6";"LM4041DBZA12 (LM4041)";"DBZ_R-PDSO-G3";"3482.74";"3024.51";"Top";"180.0";"LM4040-2V5"
"U7";"LM4041DBZA12 (LM4041)";"DBZ_R-PDSO-G3";"487.16";"2993.7";"Top";"0.0";"LM4040-10V"
"U8";"4051_MUX";"SO-16";"1153.2";"2890.63";"Top";"90.0";"4051"
"U9";"SSI2164";"SO-16";"2955.2";"2874.84";"Top";"90.0";"2164"
"U10";"LD1117-3V3 (LD1117)";"SOT223";"1600.36";"2826.87";"Top";"180.0";"LD1117-3V3"
"U11";"MCP6002";"SOIC-8/150mil";"1353.7";"1725";"Top";"180.0";""
"U12";"MCP6002";"SOIC-8/150mil";"2491.2";"1725";"Top";"180.0";""
"U13";"LM4041DBZA12 (LM4041)";"DBZ_R-PDSO-G3";"3360.39";"1481.1";"Top";"90.0";"LM4040-10V"
"U14";"TL072_SO-8 (TL072)";"SO-8";"2986.83";"1151.3";"Top";"90.0";"TL072"
"U15";"MCP6002";"SOIC-8/150mil";"1497.4";"1143.7";"Top";"180.0";""
"U16";"TL074_SO-14 (TL074)";"SO-14";"784.75";"1063.21";"Top";"90.0";"TL074"
"U17";"MCP6002";"SOIC-8/150mil";"2172.4";"1131.2";"Top";"180.0";""
"U18";"MCP6002";"SOIC-8/150mil";"1791.2";"612.5";"Top";"180.0";""
"U19";"TLE2172";"TSSOP-8";"1428.7";"2074.95";"Top";"180.0";""
"U20";"TLE2172";"TSSOP-8";"2528.7";"2074.95";"Top";"180.0";""
"VR_DENS";"bourns PTL LED slide pot ";"BOURNS PTL 30mm";"2203.7";"3418.7";"Bottom";"90.0";""
"VR_FDBK";"POT_9MM_SNAP-IN__ (POT_9MM_SNAP-IN_)";"ALPS_POT_VERTICAL_PS";"1703.7";"2144.89";"Bottom";"0.0";"P-10K-B"
"VR_IN";"POT_9MM_SNAP-IN__ (POT_9MM_SNAP-IN_)";"ALPS_POT_VERTICAL_PS";"3228.7";"3344.89";"Bottom";"0.0";"P-10K-B"
